app_id	cpu	memory	instance_num	conflict	conflict_degree
1	1	8	1	[]	0
2	1	8	1	[]	0
3	1	8	4	[]	0
4	1	8	2	[]	0
5	2	8	18	[]	0
6	1	7	1	[]	0
7	1	8	1	[]	0
8	1	8	4	[]	0
9	1	2	1	[]	0
10	4	8	1	[]	0
11	1	6	1	[]	0
12	1	8	2	[]	0
13	2	2	8	[]	0
14	1	8	3	[]	0
15	1	2	2	[]	0
16	1	8	2	[]	0
17	1	8	2	[]	0
18	1	8	6	[]	0
19	1	5	5	[]	0
20	6	8	4	[]	0
21	1	7	4	[]	0
22	10	16	78	[(1416, 0), (6659, 0), (577, 0), (9127, 0), (5366, 0), (6161, 0), (2082, 0), (8347, 0), (9084, 0), (8653, 0), (4998, 0), (8221, 0), (4947, 0), (615, 0), (456, 0), (5028, 0), (6408, 0), (285, 0), (2353, 0), (5172, 0)]	20
23	1	8	2	[]	0
24	2	8	2	[]	0
25	2	2	2	[]	0
26	1	16	4	[]	0
27	3	8	21	[]	0
28	1	1	10	[(3520, 0), (4781, 0)]	2
29	1	8	2	[]	0
30	2	4	4	[]	0
31	1	8	1	[]	0
32	1	8	2	[]	0
33	1	8	1	[]	0
34	1	8	12	[]	0
35	1	8	2	[]	0
36	4	8	1	[]	0
37	1	8	2	[]	0
38	1	8	5	[]	0
39	1	8	2	[]	0
40	6	8	3	[]	0
41	1	1	2	[]	0
42	1	16	1	[]	0
43	1	8	2	[]	0
44	1	8	2	[]	0
45	1	8	1	[]	0
46	1	4	2	[]	0
47	1	1	1	[]	0
48	3	8	17	[(6659, 0)]	1
49	1	8	4	[]	0
50	3	8	8	[]	0
51	1	8	2	[]	0
52	2	8	22	[]	0
53	1	8	6	[]	0
54	1	8	3	[]	0
55	1	6	2	[]	0
56	1	8	5	[]	0
57	4	8	1	[]	0
58	1	8	1	[]	0
59	1	8	1	[]	0
60	4	8	10	[(2487, 0), (275, 0), (3128, 0), (7322, 0), (2410, 0), (8457, 0), (2857, 0), (2485, 0), (7443, 0), (8638, 0), (2129, 0), (4808, 0), (4698, 0), (2486, 0), (2406, 0), (7085, 0), (2033, 0), (2479, 0), (3327, 0), (1016, 0), (7448, 0), (478, 0), (4551, 0), (5856, 0), (8622, 0), (941, 0), (2496, 0), (7486, 0), (2332, 0), (91, 0), (4054, 0), (2454, 0)]	32
61	1	2	2	[]	0
62	1	8	2	[]	0
63	1	8	4	[]	0
64	1	8	1	[]	0
65	1	8	7	[]	0
66	4	8	3	[]	0
67	1	8	21	[]	0
68	1	7	1	[]	0
69	6	8	4	[]	0
70	1	8	2	[]	0
71	2	8	15	[]	0
72	1	1	1	[]	0
73	1	8	4	[]	0
74	1	9	2	[]	0
75	1	8	2	[]	0
76	1	8	1	[]	0
77	3	8	6	[]	0
78	1	8	2	[]	0
79	1	8	1	[]	0
80	12	16	145	[]	0
81	1	2	2	[]	0
82	1	2	2	[]	0
83	2	2	2	[]	0
84	1	7	2	[]	0
85	6	8	3	[]	0
86	1	8	2	[]	0
87	1	8	4	[]	0
88	1	8	5	[]	0
89	1	8	1	[]	0
90	2	8	2	[]	0
91	4	8	2	[]	0
92	6	8	105	[]	0
93	4	8	2	[]	0
94	1	1	1	[]	0
95	2	2	2	[]	0
96	1	8	3	[]	0
97	2	8	5	[]	0
98	1	8	8	[]	0
99	1	8	1	[]	0
100	3	8	10	[]	0
101	1	8	2	[]	0
102	1	8	1	[]	0
103	3	8	8	[]	0
104	4	8	1	[]	0
105	1	1	1	[]	0
106	10	8	1	[]	0
107	4	8	1	[]	0
108	1	9	3	[]	0
109	4	16	2	[]	0
110	1	8	3	[]	0
111	1	8	2	[]	0
112	1	2	2	[]	0
113	1	8	1	[]	0
114	1	8	1	[]	0
115	1	8	1	[]	0
116	1	8	3	[]	0
117	4	4	1	[]	0
118	1	8	3	[(3831, 0)]	1
119	2	2	1	[]	0
120	1	8	7	[]	0
121	1	8	5	[]	0
122	2	8	36	[(6659, 0), (798, 0), (1356, 0)]	3
123	1	8	1	[]	0
124	1	8	1	[]	0
125	1	8	3	[]	0
126	1	3	1	[]	0
127	2	8	21	[]	0
128	1	8	2	[]	0
129	3	8	2	[]	0
130	2	8	1	[]	0
131	4	8	2	[]	0
132	6	8	2	[]	0
133	1	1	2	[]	0
134	1	7	1	[]	0
135	3	2	36	[]	0
136	1	8	1	[]	0
137	1	2	2	[]	0
138	1	8	1	[]	0
139	1	6	2	[]	0
140	6	8	3	[]	0
141	1	8	1	[]	0
142	1	2	2	[]	0
143	2	8	33	[]	0
144	1	8	2	[]	0
145	1	8	2	[]	0
146	1	8	2	[]	0
147	6	8	315	[]	0
148	1	8	2	[]	0
149	1	8	2	[]	0
150	6	8	3	[]	0
151	1	8	2	[]	0
152	1	8	1	[]	0
153	1	8	2	[]	0
154	1	8	1	[]	0
155	1	8	2	[]	0
156	1	8	1	[]	0
157	1	2	2	[]	0
158	1	8	2	[]	0
159	2	8	3	[]	0
160	1	8	6	[]	0
161	1	8	1	[]	0
162	1	7	1	[]	0
163	1	8	1	[]	0
164	1	8	3	[]	0
165	1	8	2	[]	0
166	1	5	2	[]	0
167	4	4	1	[]	0
168	1	8	1	[]	0
169	1	8	6	[]	0
170	1	2	2	[]	0
171	1	8	1	[]	0
172	1	3	2	[]	0
173	1	2	4	[]	0
174	2	8	2	[]	0
175	1	7	2	[]	0
176	1	32	1	[]	0
177	1	8	1	[]	0
178	1	8	1	[]	0
179	1	2	2	[]	0
180	1	8	3	[]	0
181	1	1	1	[]	0
182	1	8	6	[]	0
183	3	8	9	[]	0
184	4	8	1	[]	0
185	2	8	6	[]	0
186	1	8	2	[]	0
187	2	8	5	[]	0
188	23	48	20	[(80, 0), (3886, 0), (4778, 0), (8412, 0), (7333, 0), (6269, 0), (5022, 0), (3370, 0), (577, 0)]	9
189	1	8	1	[]	0
190	3	8	4	[]	0
191	1	2	7	[]	0
192	1	2	3	[]	0
193	1	8	2	[]	0
194	1	8	1	[]	0
195	1	2	3	[]	0
196	1	2	2	[]	0
197	2	8	2	[]	0
198	2	8	3	[(6659, 0), (6421, 0)]	2
199	1	2	2	[]	0
